datetime,filename,downloads
2014-10-10 03:14:15,geekcookies_ep_0,0
2014-10-09 03:14:15,geekcookies_ep_0_new,0
2014-10-14 03:14:15,geekcookies_ep_1,0
2014-10-27 13:54:03,geekcookies_ep_0,110
2014-10-27 13:54:03,geekcookies_ep_0_new,63
2014-10-27 13:54:03,geekcookies_ep_1,106
2014-11-27 13:55:04,geekcookies_ep_0,110
2014-11-27 13:55:04,geekcookies_ep_0_new,63
2014-11-27 13:55:04,geekcookies_ep_1,106
2014-11-28 00:00:10,geekcookies_ep_0,110
2014-11-28 00:00:10,geekcookies_ep_0_new,65
2014-11-28 00:00:10,geekcookies_ep_1,106
2014-11-29 00:00:13,geekcookies_ep_0,110
2014-11-29 00:00:13,geekcookies_ep_0_new,69
2014-11-29 00:00:13,geekcookies_ep_1,110
2014-11-30 00:00:11,geekcookies_ep_0,110
2014-11-30 00:00:11,geekcookies_ep_0_new,73
2014-11-30 00:00:11,geekcookies_ep_1,113
2014-12-01 00:00:12,geekcookies_ep_0,110
2014-12-01 00:00:12,geekcookies_ep_0_new,73
2014-12-01 00:00:12,geekcookies_ep_1,113
2014-12-02 00:00:20,geekcookies_ep_0,110
2014-12-02 00:00:20,geekcookies_ep_0_new,76
2014-12-02 00:00:20,geekcookies_ep_1,116
2014-12-03 00:00:12,geekcookies_ep_0,110
2014-12-03 00:00:12,geekcookies_ep_0_new,78
2014-12-03 00:00:12,geekcookies_ep_1,119
2014-12-04 00:00:12,geekcookies_ep_0,110
2014-12-04 00:00:12,geekcookies_ep_0_new,80
2014-12-04 00:00:12,geekcookies_ep_1,122
2014-12-05 00:00:09,geekcookies_ep_0,110
2014-12-05 00:00:09,geekcookies_ep_0_new,80
2014-12-05 00:00:09,geekcookies_ep_1,123
2014-12-06 00:00:15,geekcookies_ep_0,110
2014-12-06 00:00:15,geekcookies_ep_0_new,80
2014-12-06 00:00:15,geekcookies_ep_1,123
2014-12-07 00:00:26,geekcookies_ep_0,110
2014-12-07 00:00:26,geekcookies_ep_0_new,80
2014-12-07 00:00:26,geekcookies_ep_1,124
2014-12-08 00:00:11,geekcookies_ep_0,110
2014-12-08 00:00:11,geekcookies_ep_0_new,80
2014-12-08 00:00:11,geekcookies_ep_1,124
2014-12-09 00:00:12,geekcookies_ep_0,110
2014-12-09 00:00:12,geekcookies_ep_0_new,80
2014-12-09 00:00:12,geekcookies_ep_1,124
2014-12-10 00:00:13,geekcookies_ep_0,110
2014-12-10 00:00:13,geekcookies_ep_0_new,80
2014-12-10 00:00:13,geekcookies_ep_1,124
2014-12-11 00:00:20,geekcookies_ep_0,110
2014-12-11 00:00:20,geekcookies_ep_0_new,80
2014-12-11 00:00:20,geekcookies_ep_1,130
2014-12-12 00:00:20,geekcookies_ep_2,0
2014-12-13 00:00:20,geekcookies_ep_0,110
2014-12-13 00:00:20,geekcookies_ep_0_new,89
2014-12-13 00:00:20,geekcookies_ep_1,141
2014-12-13 00:00:20,geekcookies_ep_2,22
2014-12-14 00:00:21,geekcookies_ep_0,110
2014-12-14 00:00:21,geekcookies_ep_0_new,102
2014-12-14 00:00:21,geekcookies_ep_2,22
2014-12-14 00:00:21,geekcookies_ep_1,152
2014-12-15 00:00:14,geekcookies_ep_0,110
2014-12-15 00:00:14,geekcookies_ep_0_new,107
2014-12-15 00:00:14,geekcookies_ep_2,37
2014-12-15 00:00:14,geekcookies_ep_1,159
2014-12-16 00:00:13,geekcookies_ep_0_new,110
2014-12-16 00:00:13,geekcookies_ep_0,110
2014-12-16 00:00:13,geekcookies_ep_1,162
2014-12-16 00:00:13,geekcookies_ep_2,44
2014-12-17 00:00:10,geekcookies_ep_0,110
2014-12-17 00:00:10,geekcookies_ep_0_new,113
2014-12-17 00:00:10,geekcookies_ep_1,164
2014-12-17 00:00:10,geekcookies_ep_2,48
2014-12-18 00:00:15,geekcookies_ep_0,110
2014-12-18 00:00:15,geekcookies_ep_0_new,113
2014-12-18 00:00:15,geekcookies_ep_2,50
2014-12-18 00:00:15,geekcookies_ep_1,164
2014-12-19 00:00:13,geekcookies_ep_0,110
2014-12-19 00:00:13,geekcookies_ep_0_new,115
2014-12-19 00:00:13,geekcookies_ep_1,164
2014-12-19 00:00:13,geekcookies_ep_2,52
2014-12-20 00:00:10,geekcookies_ep_0,110
2014-12-20 00:00:10,geekcookies_ep_0_new,115
2014-12-20 00:00:10,geekcookies_ep_2,52
2014-12-20 00:00:10,geekcookies_ep_1,166
2014-12-21 00:00:14,geekcookies_ep_0_new,117
2014-12-21 00:00:14,geekcookies_ep_0,110
2014-12-21 00:00:14,geekcookies_ep_1,166
2014-12-21 00:00:14,geekcookies_ep_2,55
2014-12-22 00:00:19,geekcookies_ep_0_new,117
2014-12-22 00:00:19,geekcookies_ep_0,110
2014-12-22 00:00:19,geekcookies_ep_2,58
2014-12-22 00:00:19,geekcookies_ep_1,168
2014-12-23 00:00:16,geekcookies_ep_0,110
2014-12-23 00:00:16,geekcookies_ep_0_new,118
2014-12-23 00:00:16,geekcookies_ep_2,58
2014-12-23 00:00:16,geekcookies_ep_1,168
2014-12-24 00:00:28,geekcookies_ep_0,110
2014-12-24 00:00:28,geekcookies_ep_0_new,118
2014-12-24 00:00:28,geekcookies_ep_1,168
2014-12-24 00:00:28,geekcookies_ep_2,58
2014-12-25 00:00:11,geekcookies_ep_0_new,118
2014-12-25 00:00:11,geekcookies_ep_0,110
2014-12-25 00:00:11,geekcookies_ep_1,168
2014-12-25 00:00:11,geekcookies_ep_2,58
2014-12-26 00:00:10,geekcookies_ep_0,110
2014-12-26 00:00:10,geekcookies_ep_0_new,118
2014-12-26 00:00:10,geekcookies_ep_2,58
2014-12-26 00:00:10,geekcookies_ep_1,168
